Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL
0,5;-2,6446;-3,3668;-3,8438;-3,5774;-2,4754;-3,721;-3,6882;-3,7856;-5,7456;-5,1736;-5,8;-5,93
1;-1,5506;-1,6248;-1,7768;-1,3224;-1,0245;-1,524;-1,8142;-1,6936;-1,9136;-2,5626;-3,029;-2,293
1,5;-0,2886;-0,1158;-0,1538;0,6176;-0,3575;-0,275;0,1698;0,1934;0,0894;0,3934;0,604;0,777
2;1,2064;1,3692;1,6602;1,8596;1,1852;1,709;1,5848;1,3104;2,6374;2,6044;3,182;2,842
2,5;3,2774;3,7382;4,1142;2,4226;2,6722;3,811;3,7478;3,9754;4,9324;4,7384;5,043;4,604
3;12,6424;17,8752;14,8852;4,5026;3,7932;6,895;7,1588;8,2744;6,5524;6,7394;7,139;6,898
3,5;46,1484;62,1672;54,0932;5,0486;4,2752;16,53;20,1868;18,7344;7,8724;10,6284;11,697;10,345
4;103,0984;131,7152;132,8012;6,7696;5,3122;43,916;57,0828;51,4674;10,2454;22,6304;26,155;21,153
4,5;162,5364;201,8292;219,4822;7,7676;6,0662;89,975;117,9098;109,4364;11,7114;54,5874;63,075;47,81
5;221,1914;270,6892;301,8712;9,3306;7,0872;142,684;182,0668;173,8514;14,3904;107,9264;120,435;94,14
5,5;283,3514;343,3632;381,0152;12,0306;7,8162;196,952;242,8868;237,2724;16,7464;165,5084;179,616;143,108
6;344,3874;422,7582;456,3452;13,9716;9,9632;250,674;302,8488;297,8714;18,6504;217,4834;232,449;187,943
6,5;399,2354;502,5972;530,0742;15,6116;11,2392;305,37;361,2148;356,6184;20,0254;262,4454;279,123;227,897
7;449,1454;573,9472;598,7332;16,7856;13,0852;359,855;420,5678;414,8714;21,8284;301,5114;319,653;262,422
7,5;493,8874;640,1642;662,8492;19,1456;14,4742;416,063;479,1608;473,1144;23,9284;336,8524;356,954;293,099
8;530,8484;697,8542;718,7492;19,3686;15,2432;473,238;537,7148;530,7564;26,7034;368,2184;390,747;320,319
8,5;565,7024;752,0912;768,7922;20,4926;15,0332;529,791;594,3228;587,5194;29,4424;396,9974;420,563;344,595
9;595,4884;799,2852;811,7582;21,8776;16,6422;583,168;646,7998;640,6954;32,9494;423,4684;448,086;367,365
9,5;620,9304;839,8472;848,7622;22,8206;17,3452;634,458;695,6718;691,0164;35,7934;446,9964;473,149;388,585
10;642,6694;875,2372;879,1902;24,1876;17,9172;681,102;741,0088;736,1524;39,5794;469,3204;496,205;409,015
10,5;659,7344;906,6272;905,1102;24,9906;18,5112;723,814;779,9388;777,3994;41,9494;488,6444;516,657;427,464
11;674,7194;931,6872;926,5402;25,6656;18,5082;761,936;813,9428;812,0874;44,6924;507,0034;535,226;445,144
11,5;687,7924;953,0072;943,0302;26,5486;18,8622;796,235;844,8008;843,3734;47,4874;523,7424;552,7;460,935
12;698,1394;971,7872;957,3402;27,8096;20,2572;826,262;871,8348;871,8224;51,2024;539,3534;569,201;477,563
12,5;707,5914;986,8172;970,2802;28,6156;21,2002;854,089;893,3748;895,7224;52,4784;552,2364;583,545;490,398
13;715,4694;1001,4172;981,3802;29,8146;21,7882;876,051;914,3948;916,8324;55,4784;565,5284;596,497;503,485
13,5;721,9544;1011,6572;991,9802;30,4646;22,5532;898,491;933,5548;936,2224;57,6764;578,5764;609,801;516,403
14;725,4604;1020,9872;999,8602;30,8606;22,8802;914,381;947,1248;952,1424;60,2754;589,7864;622,168;527,942
14,5;731,2064;1028,5972;1006,4102;31,4716;22,8662;931,361;960,0048;966,5624;61,7484;600,4004;633,063;538,631
15;736,8944;1035,2172;1012,8802;32,3926;23,6562;944,241;971,4448;979,4624;64,0534;609,8934;642,823;548,488
15,5;741,5794;1042,3172;1018,4602;33,5096;24,1002;958,061;981,2748;990,6824;66,0064;618,6394;652,745;557,61
16;745,0234;1047,6672;1022,5702;34,9306;26,0922;968,611;990,3448;1001,8424;68,8494;627,3054;661,231;565,591
16,5;747,4284;1053,1872;1025,9502;36,2396;25,6502;978,931;997,6048;1010,3424;70,9604;635,8574;669,806;575,593
17;748,6974;1056,0172;1029,2302;36,5586;25,9952;985,631;1003,8848;1018,1724;72,4974;643,0944;677,199;583,264
17,5;750,6124;1060,1772;1032,9402;37,0856;27,0862;994,191;1008,3548;1025,9624;75,0914;650,7664;685,22;591,213
18;753,1954;1062,2372;1037,0202;38,0576;28,4202;1000,951;1013,8248;1032,0724;77,7894;658,0294;692,911;599,345
18,5;756,2344;1065,8972;1040,3202;39,2796;28,6742;1008,561;1018,1148;1038,5324;79,3214;664,1194;699,471;605,591
19;761,5794;1068,5572;1044,4202;40,4266;29,9892;1013,531;1020,6148;1043,0324;81,6254;670,9314;707,709;613,466
19,5;765,2324;1069,4172;1049,8602;40,4766;31,2912;1018,791;1023,7648;1047,1824;83,2724;675,6384;713,191;619,06
20;771,0364;1072,3272;1054,6602;41,4536;30,9932;1023,901;1026,5148;1051,6224;85,4534;682,4034;719,629;628,106
