Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0;38,6671;38,747;37,6217;36,4572;45,5845;41,8514;45,4845;41,9548
0,5;39,1522;38,4172;37,5084;36,4189;45,8929;42,41;45,7778;42,8076
1;39,1844;38,9921;37,9331;36,7668;45,4995;42,2442;46,1742;42,494
1,5;40,2911;39,8319;39,34;37,6413;45,5321;42,5812;45,8854;42,3602
2;40,4879;39,3514;38,3386;37,279;46,2007;42,7241;46,491;42,4048
2,5;40,3097;42,5984;39,1151;37,4366;47,1005;43,5232;47,7568;43,5009
3;40,6088;39,4087;38,8631;37,3631;47,1569;43,7761;47,1424;43,1741
3,5;41,4227;40,6142;39,8467;38,1583;45,1595;42,1022;45,1694;41,4137
4;40,9307;40,3046;39,9284;37,9937;47,2124;44,329;47,572;43,8424
4,5;41,8903;41,2035;40,5702;39,0804;48,8052;45,2626;48,2964;44,6226
5;42,2104;41,3757;40,2256;39,2444;38,7778;45,6276;47,6902;45,2686
5,5;42,791;41,7537;41,5855;39,5374;39,4482;46,6791;48,4221;46,5516
6;42,9878;42,2671;42,0395;40,4496;40,478;50,0626;50,7303;47,8629
6,5;43,3327;43,7517;43,8605;41,3696;42,1845;56,3047;54,5605;51,1068
7;44,7034;44,8867;46,0132;42,8929;44,0815;64,7339;58,423;54,581
7,5;45,8435;46,1199;47,5277;44,5041;44,5379;77,9878;63,3168;58,8667
8;46,5968;47,301;48,5348;46,7798;46,1275;101,544;73,3798;69,0726
8,5;47,8843;49,6888;50,3089;49,1486;47,3342;134,187;88,5768;85,6844
9;49,2143;51,5524;52,2792;52,2041;47,4345;172,864;111,637;108,352
9,5;49,6161;53,081;53,2221;54,4197;48,1885;215,691;140,45;136,31
10;50,9341;54,2684;55,7528;57,6245;49,419;258,426;173,579;168,809
10,5;51,1966;55,4929;57,1578;60,7972;49,8416;299,592;205,985;200,914
11;52,6044;57,8186;60,0548;64,4945;51,058;337,669;239,588;234,269
11,5;52,8715;59,4422;62,8634;67,743;52,173;373,967;273,013;266,922
12;53,9808;61,4429;65,9279;71,3154;52,586;408,122;306,431;298,384
12,5;54,6271;63,6942;69,9996;75,1164;53,4226;438,303;336,417;328,284
13;55,4766;65,407;73,4033;78,8562;53,1907;465,225;364,547;356,179
13,5;56,2161;67,9642;77,4599;83,9863;53,8506;489,802;391,6;381,88
14;57,0873;69,8763;82,4866;90,6529;54,7818;511,227;415,281;406,27
14,5;57,0336;71,3121;86,0781;97,3451;54,9033;530,567;437,242;427,235
15;57,5811;73,4545;90,7418;105,143;55,208;546,779;457,279;447,539
15,5;58,3139;75,0296;94,5895;113,721;56,4247;563,851;474,294;464,755
16;58,8927;77,6438;99,7712;121,049;56,3677;579,117;492,722;482,466
16,5;58,6542;78,2657;102,908;126,5;57,6139;591,111;509,318;499,16
17;59,2445;80,3388;107,27;132,017;57,1207;598,953;521,131;511,116
17,5;59,7928;82,0052;110,621;136,918;57,7224;605,668;530,892;521,446
18;59,9218;83,6562;113,717;140,924;57,871;610,856;538,962;527,748
18,5;59,5076;83,9887;115,319;142,111;58,5659;615,799;544,956;534,075
19;60,0008;85,5092;117,006;143,533;57,9956;618,06;548,914;538,007
19,5;59,372;85,3076;117,892;143,424;58,7163;620,419;553,466;541,696
